"","genes","padj"
"1","MGP_C57BL6NJ_G0011062",0.0178184350864714
"2","MGP_C57BL6NJ_G0016729",0.0274591184875274
"3","MGP_C57BL6NJ_G0017924",0.0277855739943749
"4","MGP_C57BL6NJ_G0019448",0.000202123051241969
"5","MGP_C57BL6NJ_G0023547",0.00994045327807654
"6","MGP_C57BL6NJ_G0025866",0.00437450203212385
"7","MGP_C57BL6NJ_G0026912",0.0478557580128852
"8","MGP_C57BL6NJ_G0027823",0.00994045327807654
"9","MGP_C57BL6NJ_G0028443",0.00403684900595089
"10","MGP_C57BL6NJ_G0030462",0.00994045327807654
"11","MGP_C57BL6NJ_G0030880",0.0460909316334177
"12","MGP_C57BL6NJ_G0034293",0.0403870155632864
"13","MGP_C57BL6NJ_G0035225",0.0274591184875274
